time,uav1_2_fused_error,uav1_3_fused_error,uav1_4_fused_error,uav1_5_fused_error,uav2_3_fused_error,uav2_4_fused_error,uav2_5_fused_error,uav3_4_fused_error,uav3_5_fused_error,uav4_5_fused_error
24.88,0.35115751616777924,0.3487230562882622,0.12641592146616978,0.13569945844728418,0.13115704357503966,0.12100985740169337,0.13214564093708314,0.13085889028912273,0.20661311500482107,0.17463573466044835
24.900000000000002,0.35042111748504134,0.34830880745560755,0.12614352106879856,0.13559583229553496,0.1316014429831114,0.12139435495239358,0.13141982191985502,0.13059600450324957,0.20650175423923303,0.17477964803670515
24.92,0.3498965654858511,0.34794442283782906,0.1261934252221535,0.1354817569386089,0.13193919732969442,0.1219113569830389,0.1309134692485392,0.13089750929394087,0.20605913180888644,0.175234708223225
24.94,0.34957447903802286,0.34764353930038533,0.12566828512290487,0.13584236545813982,0.13221086000727603,0.12208554101929482,0.13022961328803132,0.13098889124038074,0.20554985434920162,0.1754736956399606
24.96,0.34962933547975866,0.34743018700293316,0.1256014831862988,0.13575703526968,0.13248128653467836,0.12245927370658533,0.1292673222933157,0.1317253701694236,0.2050803785849704,0.17526824684539807
24.98,0.3497107881833891,0.34725247106906626,0.12549604040239282,0.135704086262114,0.13279696061211088,0.1229128415358526,0.12885947608887324,0.1322099521217078,0.20515010134517378,0.17528832435455632
25.0,0.34994695091285827,0.34757174255861734,0.12510590165783286,0.13600523663766603,0.13306171333263347,0.12301944917306033,0.1288237301422468,0.13284702808176974,0.20532216716319768,0.17543239616304274
25.02,0.3502185259751589,0.34767137907278295,0.12523600141085836,0.13629283109860962,0.1328389068241918,0.122927467441236,0.1286688466334326,0.13334784830010088,0.20624594336702864,0.17464673536737224
25.04,0.35054315778233935,0.34797391704798925,0.12492704314263403,0.13683851031659303,0.13289759094264,0.12263033593038022,0.12899494014012505,0.13371124938046078,0.20686515215476892,0.1746529149563936
25.060000000000002,0.35007241077411716,0.348428535047629,0.1251156495176197,0.13722250481315165,0.13247664581926832,0.12264811171903624,0.1294768364560336,0.13444081788349715,0.2071602756277582,0.17487448758074456
25.080000000000002,0.35013687327588117,0.34861063820291993,0.12460961584427045,0.1378423563580156,0.13239717815680735,0.12267845335019054,0.1298620869465294,0.13462212252656866,0.20745089694019933,0.17488490573695084
